端口,板块,功能点,详细功能描述,功能逻辑,备注
系统后台,三方对接管理,支付通道管理(Payme/Click/Uzum/Humo/Uzcard/Apelsin),管理本地支付通道,Key/Secret 加密存储 → 切换通道留痕 → 通道开关 + 限额,P0；对接 Payme / Click（P0）+ Uzum / Humo / Uzcard（P1）+ Apelsin（P2），结算币种 UZS
系统后台,三方对接管理,AWS 资源管理,管理 AWS S3/MediaConvert/CloudFront/SES/Transcribe 等,AK/SK 加密存储 → 用量监控 → 区域：eu-central-1 / ap-south-1 推荐,P0
系统后台,三方对接管理,直播 SDK 管理,管理 Agora / 100ms / LiveKit 接入,回调地址/鉴权密钥/配额监控；CIS 节点覆盖,P0
系统后台,三方对接管理,AI 模型管理,管理 OpenAI / Anthropic Claude / Google Gemini 与 Embedding/Whisper,模型切换/灰度/回退 → 调用配额监控 → 4 语言能力评估,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
系统后台,三方对接管理,Email 通道管理(SendGrid/SES),管理 Email 通道,DKIM/SPF/DMARC 配置 → 模板报备 → 退信处理,P0
系统后台,三方对接管理,客服通道管理,管理 Intercom / Freshdesk,API Token 加密 → 会话同步 → 工单同步,P0
系统后台,三方对接管理,分析工具管理(Mixpanel/Amplitude/GA4),管理产品分析工具,事件命名规范 → SDK 配置 → 隐私 Consent 联动,P1
系统后台,三方对接管理,电子签章管理,管理境外 DocuSign / 乌兹别克 e-IMZO（待定）,签章主体配置 → 证书签章存档,P1；选型待法务确认
系统后台,合规与隐私,个人信息授权清单,维护授权类型与文案（4 语言）,默认拒绝 + 显式同意 → 撤回机制；按 ZRU-547 与 GDPR 兼容,P0；合规；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
系统后台,合规与隐私,Cookie / 跟踪同意横幅,Web/H5 首次访问展示 Consent Banner,分类：必要/统计/营销；用户选择前不加载非必要 SDK；选择记录留痕,P0；GDPR 兼容
系统后台,合规与隐私,数据导出与删除,学员/家长行使数据可携权与删除权,提交申请 → 7 个工作日内响应 → 留必要交易凭证（按税务）,P0；ZRU-547 / GDPR
系统后台,合规与隐私,内容合规审查,对 AI 回答/直播/UGC 进行合规审查（4 语言词库）,敏感词库 + 人工抽检 → 高风险拦截,P0；合规；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
系统后台,合规与隐私,未成年人保护策略(COPPA),未成年专项保护,强制家长 Verifiable Consent → 时长限制 → 大额支付二次校验,P0；合规
系统后台,合规与隐私,ATT (App Tracking Transparency),iOS 14+ ATT 弹窗合规,首次启动追踪类用途前必须弹 ATT 授权 → 拒绝则关闭 IDFA 采集 → 仍可走非追踪归因（Branch 概率匹配）,P0；iOS 合规
系统后台,合规与隐私,iOS Privacy Manifest,iOS 17+ 隐私清单 PrivacyInfo.xcprivacy,声明 SDK 使用数据类型与用途 → 关联三方 SDK 隐私 → App Store 审核必备,P0；iOS 合规
公共,通用能力,全局搜索,学员/订单/课程/证书等全局搜索（4 语言）,按权限范围检索 → 模糊匹配 + 高亮 → 支持 ru/uz/en/zh 多语分词,P1；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
公共,通用能力,文件存储与 CDN,统一文件存储与 CDN 分发,AWS S3 + CloudFront（备选 Bunny CDN，对 CIS 表现好）→ 鉴权 URL,P0；AWS
公共,通用能力,敏感词库,全平台共用敏感词库（4 语言）,运营可配 → 实时生效,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
公共,通用能力,国际化与时区(已固化),4 语言 + Asia/Tashkent 单时区,按用户偏好显示；新加语言/时区需走平台升级流程,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru；全局时区 Asia/Tashkent (UTC+5)
公共,通用能力,帮助中心,帮助文档与视频教程（4 语言）,按角色/端口分类 → 支持搜索,P2；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
公共,通用能力,版本更新公告,重要功能更新公告,弹窗或站内信 → 不强制确认可配,P2
公共,通用能力,水印与防截屏,重要页面水印（Email 哈希尾段）,证书页/直播页/课件页强水印,P0
公共,通用能力,接口与系统监控,全平台 SLA、错误率、调用量监控,异常 Telegram 告警 → 运维值班响应,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
公共,通用能力,金额格式化工具,全平台 UZS 金额展示工具方法,千分位（空格作分隔符）+ 小数 0 位 → 输出形如 1 200 000 UZS,P0
公共,通用能力,日期/时间格式化工具,全平台 Asia/Tashkent 时间展示工具,ISO 8601 内部存储 UTC → 展示 yyyy-MM-dd HH:mm (UTC+5) → 支持俄/乌/英/中本地格式,P0；全局时区 Asia/Tashkent (UTC+5)
